datetime,temp
2021-08-18,18
2021-08-19,17.8
2021-08-20,19.1
2021-08-21,20.7
2021-08-22,18.9
2021-08-23,18.3
2021-08-24,19.2
2021-08-25,19.2
2021-08-26,17.3
2021-08-27,17.7
2021-08-28,17.1
2021-08-29,16.6
2021-08-30,18.1
2021-08-31,19
2021-09-01,18
2021-09-02,18.4
2021-09-03,20.9
2021-09-04,22.3
2021-09-05,22.7
2021-09-06,23.5
2021-09-07,23.3
2021-09-08,23.7
2021-09-09,22.1
2021-09-10,20.4
2021-09-11,18.4
2021-09-12,18.1
2021-09-13,19.7
2021-09-14,20.9
2021-09-15,19.5
2021-09-16,18.2
2021-09-17,17.6
2021-09-18,18.7
2021-09-19,18.5
2021-09-20,16.6
2021-09-21,15
2021-09-22,15.3
2021-09-23,16.3
2021-09-24,16.9
2021-09-25,17.4
2021-09-26,17.9
2021-09-27,16.1
2021-09-28,13.9
2021-09-29,13.9
2021-09-30,12.2
2021-10-01,12.5
2021-10-02,14.7
2021-10-03,14.9
2021-10-04,13.6
2021-10-05,13.5
2021-10-06,13.2
2021-10-07,12.9
2021-10-08,13.6
2021-10-09,13.4
2021-10-10,12.4
2021-10-11,13.3
2021-10-12,11.7
2021-10-13,11.3
2021-10-14,10.6
2021-10-15,11.9
2021-10-16,12.4
2021-10-17,10.7
2021-10-18,12.2
2021-10-19,18
2021-10-20,17
2021-10-21,11.8
2021-10-22,8.5
2021-10-23,10.7
2021-10-24,8.5
2021-10-25,10.4
2021-10-26,11.8
2021-10-27,11.4
2021-10-28,11.6
2021-10-29,12.1
2021-10-30,12.8
2021-10-31,12.2
2021-11-01,9.8
2021-11-02,9.4
2021-11-03,8.8
2021-11-04,8
2021-11-05,9.1
2021-11-06,7.1
2021-11-07,9.9
2021-11-08,8.4
2021-11-09,6.9
2021-11-10,4.9
2021-11-11,3.9
2021-11-12,6.3
2021-11-13,11.2
2021-11-14,10.7
2021-11-15,6.9
2021-11-16,7.2
2021-11-17,10
2021-11-18,7.7
2021-11-19,8.5
2021-11-20,7.3
2021-11-21,6.9
2021-11-22,5.6
2021-11-23,4.8
2021-11-24,4.4
2021-11-25,5.5
2021-11-26,5.4
2021-11-27,3.4
2021-11-28,4.6
2021-11-29,3.2
2021-11-30,6.1
2021-12-01,8.9
2021-12-02,5.1
2021-12-03,3.6
2021-12-04,9
2021-12-05,4.9
2021-12-06,6.2
2021-12-07,5.6
2021-12-08,5.4
2021-12-09,4.6
2021-12-10,6.6
2021-12-11,5.3
2021-12-12,8.8
2021-12-13,8
2021-12-14,6.5
2021-12-15,7.8
2021-12-16,9.1
2021-12-17,7.4
2021-12-18,5.9
2021-12-19,5.3
2021-12-20,5.4
2021-12-21,2.1
2021-12-22,-0.9
2021-12-23,3.9
2021-12-24,9
2021-12-25,9.4
2021-12-26,9.5
2021-12-27,10.3
2021-12-28,11.5
2021-12-29,12.4
2021-12-30,13.8
2021-12-31,11.3
2022-01-01,10.5
2022-01-02,11.9
2022-01-03,11.5
2022-01-04,8.8
2022-01-05,4.1
2022-01-06,3.5
2022-01-07,5.5
2022-01-08,6.2
2022-01-09,5.2
2022-01-10,3.5
2022-01-11,1.7
2022-01-12,2.3
2022-01-13,2.7
2022-01-14,3.4
2022-01-15,2.6
2022-01-16,1.7
2022-01-17,5.8
2022-01-18,5.1
2022-01-19,5.5
2022-01-20,5
2022-01-21,4
2022-01-22,5.2
2022-01-23,4.1
2022-01-24,3.2
2022-01-25,0.2
2022-01-26,2
2022-01-27,4.7
2022-01-28,6.8
2022-01-29,8.5
2022-01-30,8.3
2022-01-31,6.9
2022-02-01,6.9
2022-02-02,10.1
2022-02-03,7.7
2022-02-04,7.4
2022-02-05,6.1
2022-02-06,9
2022-02-07,7.6
2022-02-08,8.3
2022-02-09,7.2
2022-02-10,7.3
2022-02-11,5
2022-02-12,4.1
2022-02-13,6.8
2022-02-14,9.3
2022-02-15,7.8
2022-02-16,12.3
2022-02-17,12.3
2022-02-18,10.5
2022-02-19,7.1
2022-02-20,10.8
2022-02-21,8.6
2022-02-22,9.1
2022-02-23,9.1
2022-02-24,8.2
2022-02-25,6.3
2022-02-26,5.6
2022-02-27,5.1
2022-02-28,5.8
2022-03-01,7.8
2022-03-02,8.8
2022-03-03,9.7
2022-03-04,9.7
2022-03-05,8.9
2022-03-06,5.3
2022-03-07,3.4
2022-03-08,5.9
2022-03-09,9.2
2022-03-10,10.8
2022-03-11,9.8
2022-03-12,8.4
2022-03-13,8.9
2022-03-14,9.5
2022-03-15,10.1
2022-03-16,11.2
2022-03-17,8.8
2022-03-18,9.6
2022-03-19,10.9
2022-03-20,8.4
2022-03-21,12.1
2022-03-22,12.8
2022-03-23,12.3
2022-03-24,14
2022-03-25,13.8
2022-03-26,13.7
2022-03-27,14.6
2022-03-28,15
2022-03-29,14
2022-03-30,10.9
2022-03-31,6.2
2022-04-01,2.3
2022-04-02,4.3
2022-04-03,5.3
2022-04-04,6.2
2022-04-05,10.1
2022-04-06,10.6
2022-04-07,12.2
2022-04-08,6.3
2022-04-09,6.2
2022-04-10,8.3
2022-04-11,12.3
2022-04-12,15.9
2022-04-13,14.1
