;;;;;;
;Naive;Fast;Naive_parallel;Fast_parallel;;
2;0.000027;0.000052;0.000332;0.000622;;
4;0.000035;0.000106;0.000260;0.000734;;
8;0.000068;0.000261;0.000377;0.001527;;
16;0.000644;0.000593;0.000595;0.001259;;
32;0.009756;0.000934;0.003996;0.001404;;
64;0.121463;0.001190;0.042981;0.001131;;
128;1.635580;0.002305;0.677084;0.002500;;
256;;0.007271;;0.004664;;
512;;0.013130;;0.007552;;
1024;;0.023717;;0.012059;;
2048;;0.046972;;0.021600;;
4096;;0.080028;;0.042004;;
8192;;0.151501;;0.083973;;
16384;;0.300170;;0.168208;;
32768;;0.603722;;0.338526;;
65536;;1.225670;;0.687287;;
131072;;2.474330;;1.383790;;
